date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:17:33	122/122	---MCZ	200	added ('OK')	text/plain	etag:W/%226fd59f9eb02481e4cc7fe0f1bd42693d%22	https://the-everest.amenitiz.io/robots.txt		(from )
14:17:34	855602/855602	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Feb%202024%2013:17:33%20GMT	https://the-everest.amenitiz.io/	/Users/fcerdan/websites/Amenitiz/the-everest.amenitiz.io/index.html	(from )
14:17:34	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2008%20Feb%202024%2013:17:34%20GMT	https://the-everest.amenitiz.io/e,location.href	/Users/fcerdan/websites/Amenitiz/the-everest.amenitiz.io/e,location.href	(from https://the-everest.amenitiz.io/)
14:17:36	855632/855632	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Feb%202024%2013:17:35%20GMT	https://the-everest.amenitiz.io/en	/Users/fcerdan/websites/Amenitiz/the-everest.amenitiz.io/en.html	(from https://the-everest.amenitiz.io/)
14:17:37	856462/856462	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Feb%202024%2013:17:36%20GMT	https://the-everest.amenitiz.io/fr	/Users/fcerdan/websites/Amenitiz/the-everest.amenitiz.io/fr.html	(from https://the-everest.amenitiz.io/)
14:17:38	855295/855295	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Feb%202024%2013:17:37%20GMT	https://the-everest.amenitiz.io/es	/Users/fcerdan/websites/Amenitiz/the-everest.amenitiz.io/es.html	(from https://the-everest.amenitiz.io/)
14:17:39	1116376/1116376	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Feb%202024%2013:17:38%20GMT	https://the-everest.amenitiz.io/en/booking/room	/Users/fcerdan/websites/Amenitiz/the-everest.amenitiz.io/en/booking/room.html	(from https://the-everest.amenitiz.io/)
14:17:40	754654/754654	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Feb%202024%2013:17:39%20GMT	https://the-everest.amenitiz.io/rooms	/Users/fcerdan/websites/Amenitiz/the-everest.amenitiz.io/rooms.html	(from https://the-everest.amenitiz.io/)
14:17:41	752943/752943	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Feb%202024%2013:17:40%20GMT	https://the-everest.amenitiz.io/page/beach-club	/Users/fcerdan/websites/Amenitiz/the-everest.amenitiz.io/page/beach-club.html	(from https://the-everest.amenitiz.io/)
14:17:42	764345/764345	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Feb%202024%2013:17:41%20GMT	https://the-everest.amenitiz.io/page/restaurant	/Users/fcerdan/websites/Amenitiz/the-everest.amenitiz.io/page/restaurant.html	(from https://the-everest.amenitiz.io/)
14:17:43	760305/760305	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Feb%202024%2013:17:42%20GMT	https://the-everest.amenitiz.io/contact	/Users/fcerdan/websites/Amenitiz/the-everest.amenitiz.io/contact.html	(from https://the-everest.amenitiz.io/)
14:17:44	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2008%20Feb%202024%2013:17:44%20GMT	https://the-everest.amenitiz.io/'https://res.cloudinary.com/amenitiz/image/upload/e_blur:500,o_50,c_scale,q_auto:low,w_200/v1656419144/tjxmf9nujudmxkrfaaao.jpg'	/Users/fcerdan/websites/Amenitiz/the-everest.amenitiz.io/'https_/res.cloudinary.com/amenitiz/image/upload/e_blur_500,o_50,c_scale,q_auto_low,w_200/v1656419144/tjxmf9nujudmxkrfaaao.jpg'	(from https://the-everest.amenitiz.io/)
14:17:45	785460/785460	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Feb%202024%2013:17:43%20GMT	https://the-everest.amenitiz.io/page/covid	/Users/fcerdan/websites/Amenitiz/the-everest.amenitiz.io/page/covid.html	(from https://the-everest.amenitiz.io/)
14:17:46	760048/760048	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Feb%202024%2013:17:45%20GMT	https://the-everest.amenitiz.io/room/premium-apartment	/Users/fcerdan/websites/Amenitiz/the-everest.amenitiz.io/room/premium-apartment.html	(from https://the-everest.amenitiz.io/)
14:17:47	759122/759122	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Feb%202024%2013:17:46%20GMT	https://the-everest.amenitiz.io/room/premium-rooms	/Users/fcerdan/websites/Amenitiz/the-everest.amenitiz.io/room/premium-rooms.html	(from https://the-everest.amenitiz.io/)
14:17:48	759879/759879	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Feb%202024%2013:17:47%20GMT	https://the-everest.amenitiz.io/room/deluxe-villa	/Users/fcerdan/websites/Amenitiz/the-everest.amenitiz.io/room/deluxe-villa.html	(from https://the-everest.amenitiz.io/)
14:17:49	4689/4689	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Feb%202024%2013:17:49%20GMT	https://the-everest.amenitiz.io/cdn-cgi/l/email-protection	/Users/fcerdan/websites/Amenitiz/the-everest.amenitiz.io/cdn-cgi/l/email-protection.html	(from https://the-everest.amenitiz.io/)
14:17:50	754655/754655	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Feb%202024%2013:17:48%20GMT	https://the-everest.amenitiz.io/rooms.en	/Users/fcerdan/websites/Amenitiz/the-everest.amenitiz.io/rooms-2.html	(from https://the-everest.amenitiz.io/)
14:17:51	855649/855649	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Feb%202024%2013:17:50%20GMT	https://the-everest.amenitiz.io/en?origin_locale=en	/Users/fcerdan/websites/Amenitiz/the-everest.amenitiz.io/enc2b5.html	(from https://the-everest.amenitiz.io/)
14:17:52	856482/856482	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Feb%202024%2013:17:52%20GMT	https://the-everest.amenitiz.io/fr?origin_locale=en	/Users/fcerdan/websites/Amenitiz/the-everest.amenitiz.io/frc2b5.html	(from https://the-everest.amenitiz.io/)
14:17:53	855313/855313	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Feb%202024%2013:17:53%20GMT	https://the-everest.amenitiz.io/es?origin_locale=en	/Users/fcerdan/websites/Amenitiz/the-everest.amenitiz.io/esc2b5.html	(from https://the-everest.amenitiz.io/)
14:17:53	757026/757026	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Feb%202024%2013:17:53%20GMT	https://the-everest.amenitiz.io/legal-notices	/Users/fcerdan/websites/Amenitiz/the-everest.amenitiz.io/legal-notices.html	(from https://the-everest.amenitiz.io/)
14:17:54	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%2265bd0be2-4d7%22	https://the-everest.amenitiz.io/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	/Users/fcerdan/websites/Amenitiz/the-everest.amenitiz.io/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://the-everest.amenitiz.io/)
14:17:56	99903/99903	---MCZ	200	added ('OK')	application/json	etag:W/%2215c7be83a875e7f6570054817f312478%22	https://the-everest.amenitiz.io//api_public/v1/client_booking_engine/availability_with_restrictions	/Users/fcerdan/websites/Amenitiz/the-everest.amenitiz.io/api_public/v1/client_booking_engine/availability_with_restrictions.json	(from https://the-everest.amenitiz.io/)
14:17:56	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2008%20Feb%202024%2013:17:56%20GMT	https://the-everest.amenitiz.io/e,location.href	/Users/fcerdan/websites/Amenitiz/the-everest.amenitiz.io/e,location.href	(from https://the-everest.amenitiz.io/en)
